tickers
HAPV3
PETR4
CIEL3
B3SA3
AMER3
COGN3
MGLU3
BBDC4
AZUL4
LREN3
ONCO3
ASAI3
ITSA4
ITUB4
VALE3
RAIZ4
ABEV3
MRVE3
SUZB3
ANIM3
CPLE6
CVCB3
IFCM3
PRIO3
RAIL3
BEEF3
BBAS3
USIM5
PCAR3
BHIA3
RRRP3
YDUQ3
EMBR3
GGBR4
SBSP3
CYRE3
FLRY3
VIVA3
EQTL3
CMIG4
ELET3
PETR3
VBBR3
WEGE3
PETZ3
VAMO3
ALPA4
CRFB3
POMO4
CXSE3
MOVI3
DXCO3
CEAB3
BBDC3
CSAN3
UGPA3
CPLE3
RADL3
NTCO3
RENT3
ALOS3
CSNA3
BBSE3
TRPL4
GOLL4
QUAL3
ENEV3
GFSA3
CASH3
CMIN3
TIMS3
CCRO3
JHSF3
GOAU4
BRFS3
MLAS3
GMAT3
SIMH3
TOTS3
AURE3
PDGR3
JBSS3
SEQL3
MRFG3
STBP3
RDOR3
VVEO3
LWSA3
MULT3
SMFT3
TEND3
RECV3
AMBP3
AESB3
BRKM5
AZEV4
ECOR3
LJQQ3
SLCE3
SBFG3
CBAV3
RAPT4
HYPE3
ELET6
PGMN3
TTEN3
GUAR3
HBSA3
DIRR3
GGPS3
BRAP4
GRND3
JFEN3
SAPR4
MBLY3
KEPL3
PSSA3
LIGT3
VIVT3
PLPL3
POSI3
BPAN4
CURY3
SMTO3
EZTC3
CPFE3
MATD3
MTRE3
CSMG3
ESPA3
MDNE3
IRBR3
DASA3
OPCT3
KLBN4
SRNA3
RSID3
FIQE3
PTBL3
ENJU3
MEAL3
MYPK3
SOJA3
ABCB4
CLSA3
JSLG3
INTB3
EGIE3
ETER3
BRSR6
VLID3
EVEN3
ARML3
VULC3
TRIS3
MDIA3
CSED3
RCSL3
FESA4
BMOB3
ODPV3
ZAMP3
AMAR3
SHOW3
PRNR3
RANI3
KRSA3
NEOE3
MILS3
NGRD3
CAML3
FRAS3
LAVV3
PNVL3
PINE4
AZEV3
OIBR3
HBRE3
JALL3
TUPY3
LOGG3
BMGB4
WIZC3
SAPR3
ELMD3
UNIP6
ITUB3
HBOR3
PORT3
USIM3
ALLD3
LEVE3
MELK3
TCSA3
SYNE3
BRIT3
DEXP3
SEER3
TFCO4
ORVR3
VITT3
PFRM3
RNEW4
TASA4
POMO3
EALT4
BLAU3
ROMI3
KLBN3
DESK3
ALPK3
AGRO3
AERI3
SHUL4
TAEE4
ITSA3
DMVF3
TECN3
TGMA3
CMIG3
TPIS3
RCSL4
SANB4
TRAD3
AGXY3
CTSA4
LPSB3
RNEW3
PDTC3
WEST3
PMAM3
CSUD3
BIOM3
TAEE3
AALR3
LVTC3
SANB3
IGTI3
IGTI3
LUPA3
GGBR3
VTRU3
UCAS3
EUCA4
BIOM11
VIVR3
CAMB3
BRAP3
SGPS3
HAGA3
LAND3
AMAR11
CTNM4
RAPT3
BEES3
RPMG3
ENGI4
LOGN3
ATMP3
SNSY5
UNIP3
AVLL3
INEP3
DEXP4
AZEV11
DOTZ3
GOAU3
VSTE3
TASA3
MTSA4
CGRA4
BRKM3
CGAS5
ENGI3
BMEB4
CTSA3
HAGA4
ALUP4
EALT3
NUTR3
BPAC3
NINJ3
EPAR3
CEBR5
BEES4
OSXB3
BPAC5
BRSR3
BAHI3
RDNI3
CTKA4
FHER3
COCE5
ALUP3
BOBR4
MGEL4
ESTR4
CEBR6
WHRL4
INEP4
HOOT4
OFSA3
CEBR3
TELB3
EQPA3
PINE3
CSRN3
ATOM3
UNIP5
TRPL3
BAZA3
OIBR4
TELB4
CLSC4
CGRA3
SNSY3
RSUL4
NORD3
EMAE4
NEXP3
WHRL3
SCAR3
BSLI4
EKTR4
ENMT3
WLMM4
FRIO3
CGAS3
ALPA3
GEPA4
REDE3
PTNT4
CEEB3
AHEB3
WLMM3
PLAS3
BGIP4
CSRN6
AFLT3
MAPT4
APER3
BGIP3
EUCA3
IGTI4
IGTI4
MWET4
MAPT3
BMKS3
LIPR3
MRSA6B
CRPG5
CEDO3
PATI3
FESA3
CPLE5
BALM3
BSLI3
PSVM11
PINE11
MNPR3
EQPA5
CEDO4
ENMT4
CRPG6
LUXM4
PTNT3
BMEB3
BAUH4
BALM4
BRKM6
TEKA4
HETA4
MOAR3
HBTS5
GEPA3
MERC4
DOHL4
CLSC3
DTCY3
PEAB3
MRSA3B
FIEI3
BNBR3
BMIN4
EQMA3B
ELET5
CSRN5
BDLL3
MNDL3
GSHP3
MRSA5B
COCE3
RPAD3
JOPA3
BMIN3
CTNM3
EKTR3
RPAD5
SOMA3
ENAT3
ARZZ3
BDLL4
CALI3
RPAD6
PEAB4
PATI4
BRSR5
MWET3
